Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month
My statement on the death of George Floyd:,66,2020-05-29 16:06:54,Twitter Web App,1962152,484719,barackobama,1266400635429310466,False,https://t.co/Hg1k9JHT6R,en,May
"If you believe in a more just, more generous, more democratic America, now is the time to fight for it. Here’s a terrific way to register voters, organize communities, and ramp up turnout in the battleground states that will decide this election:",294,2020-05-27 15:00:15,Twitter Web App,124150,28336,barackobama,1265659084524728321,False,https://t.co/FmN8RCJymg,en,May
"On Memorial Day, we honor those who gave all for us. That takes different forms this year, but it’s even more vital with the loss of so many veterans to COVID-19.

The way they lived, in service to one another, should be our roadmap in the months ahead.",277,2020-05-25 14:31:05,Twitter for iPhone,155157,27747,barackobama,1264926971890409472,False,https://t.co/S0sqvuicm8,en,May
"And here’s more on the approach Sweden has taken, which differs from some of its neighbors:",117,2020-05-23 21:55:57,Twitter Web App,23435,4273,barackobama,1264314146717384712,False,https://t.co/Qw5R0O5RhM,en,May
South Korea has focused on testing to guard against outbreaks:,87,2020-05-23 21:55:56,Twitter Web App,30205,5728,barackobama,1264314145899503616,False,https://t.co/51h11Pb3HZ,en,May
"As all 50 states begin the process of reopening, here are three articles that offer some lessons from other countries about the tradeoffs and policies involved. First, here’s what European nations have done to support workers:",251,2020-05-23 21:55:56,Twitter Web App,74430,16859,barackobama,1264314143869460484,False,https://t.co/OXJMUaFDKo,en,May
"The Class of 2020 is full of the leaders we need to bend the arc of history toward a better future—and our HBCU grads have the talent, skills, and vision to lead that change. I couldn't be prouder of all of you.",235,2020-05-23 18:03:41,Twitter for iPhone,80188,12851,barackobama,1264255694729084930,False,https://t.co/Qlr5ivBvpJ,en,May
"As Chicago navigates the health crisis, its residents continue to show up for one another in their communities. It’s one of the things I love most about the city—and one of the many reasons it’s such a good home for the @ObamaFoundation.",261,2020-05-20 21:34:17,Twitter for iPhone,52469,7876,barackobama,1263221534094774272,False,https://t.co/ALo7kusc8K,en,May
"Congrats to the high school Class of 2020, as well as to the teachers, coaches, and most of all, parents and family who’ve guided you along the way. Thanks for letting me be part of your big day!",219,2020-05-17 01:00:04,Twitter Media Studio,569024,115349,barackobama,1261823767044476928,False,https://t.co/RjYvHs2BhC,en,May
"Congratulations to the HBCU Class of 2020! Michelle and I are so proud of you. As you set out to change the world, we’ll be the wind at your back. Can’t wait to see what you achieve.",206,2020-05-16 21:47:43,Twitter Web App,177908,28688,barackobama,1261775362960363521,False,https://t.co/PCsjkJJTXi,en,May
"Graduating is a big achievement no matter what, but with all that the Class of 2020 has dealt with to get across the finish line, I think they’ve earned a little celebration. I hope you’ll all join me in honoring them at 2PM ET and 8PM ET.",263,2020-05-16 16:00:01,Twitter Web App,157475,27315,barackobama,1261687858601103367,False,https://t.co/dBK5nll7w8,en,May
Vote.,5,2020-05-14 18:44:56,Twitter for iPhone,1863790,330292,barackobama,1261004586359422979,False,,en,May
"Michelle and I want to do our part to give all you parents a break today, so we’re reading “The Word Collector” for @chipublib. It’s a fun book that vividly illustrates the transformative power of words––and we hope you enjoy it as much as we did.",271,2020-05-14 15:30:44,Twitter Media Studio,172875,29932,barackobama,1260955716644470784,False,https://t.co/ADYbL6Dzg4,en,May
"Despite all the time that’s been lost, we can still make real progress against the virus, protect people from the economic fallout, and more safely approach something closer to normal if we start making better policy decisions now.",255,2020-05-13 23:05:11,Twitter for iPhone,206463,45905,barackobama,1260707691900612615,False,https://t.co/pfokyI8GiB,en,May
"Change comes when all of us step up and play our part in this democracy. By encouraging our young people, like these students from @ChiPubSchools, to start engaging in our civic life today, we’re already creating something better for tomorrow.",267,2020-05-11 21:06:14,Twitter Web App,108804,16902,barackobama,1259952980503248896,False,https://t.co/9ScwPruoyA,en,May
"Even if you can’t give the moms in your life a hug today, I hope you can give them an extra thank you today. Thank you and Happy Mother’s Day to the woman who makes it all possible. Love you, @michelleobama.",231,2020-05-10 15:03:15,Twitter Web App,692620,57271,barackobama,1259499248598626305,False,https://t.co/E9ebxaSBpy,en,May
"There’s no limit to the devotion I’ve seen in teachers like these @ChiPubSchools educators. Their dedication shapes the best parts of who we become. I couldn’t be more thankful for their work, especially as they shift lessons online to keep students on track during this crisis.",302,2020-05-06 14:10:45,Twitter Media Studio,71552,11257,barackobama,1258036483090505729,False,https://t.co/xYECcrAxdE,en,May
"I’ve always loved joining commencements––the culmination of years of hard work and sacrifice. Even if we can’t get together in person this year, Michelle and I are excited to celebrate the nationwide Class of 2020 and recognize this milestone with you and your loved ones.",296,2020-05-05 15:05:41,Twitter for iPhone,211392,44774,barackobama,1257687918388424707,False,https://t.co/ngR2ykx3A2,en,May
"The folks of the Chicago @fooddepository—and food banks in communities like yours—are working overtime to feed the vulnerable and families who’ve fallen on hard times. But even as demand has spiked, donations have slowed. Their incredible efforts are worth supporting if you can.",303,2020-05-01 18:25:11,Twitter for iPhone,67446,11589,barackobama,1256288574313553922,False,https://t.co/kSdijlyHLH,en,May
"The pandemic has magnified the financial insecurity of too many American families, the deep and real racial disparities in our society – and the imbalanced burdens on working moms. We have to create something better for America on the other side of this.",278,2020-04-27 17:22:11,Twitter for iPhone,104651,17873,barackobama,1254823167937445890,False,https://t.co/eyy3dC22Ze,en,April
"In moments of crisis, we look out for one other. And we need leaders with empathy who will bring people together rather than drive them apart. @JoeBiden has the character and experience to guide us through one of our darkest times and heal us through a long recovery.",291,2020-04-25 20:49:19,Twitter for iPhone,233112,45158,barackobama,1254150519964217347,False,https://t.co/JkaBWYejKh,en,April
This pandemic has painfully brought to the surface many of the reasons I launched @MBK_Alliance—structural racism robs too many of our kids of their futures. The leaders on today's call aren't just tackling this crisis; they’re helping us build a more equitable future for all.,301,2020-04-25 00:00:58,Twitter for iPhone,92016,16731,barackobama,1253836363507609606,False,https://t.co/9dsedZYt0E,en,April
"If we want life to approach anything like normal anytime soon, we need a comprehensive testing program. It’s not going to be cheap, but it will ultimately pay off many times over in saved lives, saved businesses, and saved jobs.",252,2020-04-24 20:53:55,Twitter for iPhone,249101,51853,barackobama,1253789288745091077,False,https://t.co/pnN9KVcvQR,en,April
"While we continue to wait for a coherent national plan to navigate this pandemic, states like Massachusetts are beginning to adopt their own public health plans to combat this virus––before it's too late.",228,2020-04-22 19:40:36,Twitter for iPhone,179004,39452,barackobama,1253046061091950593,False,https://t.co/Eb2Hz8H8vU,en,April
"We've all had to adapt to cope with a pandemic. Climate change will force far harsher changes on our kids. All of us should follow the young people who've led the efforts to protect our planet for generations, and demand more of our leaders at every level.",280,2020-04-22 15:32:30,Twitter for iPhone,94694,18000,barackobama,1252983624850341888,False,https://t.co/uNueQl5bNX,en,April
